<!--
  【本表定位】决策主表 —— 只收录有决策价值的 81 项：本项目 .conf 显式设置的、AE103 特有的、
              以及原表列出的移植评估项（含评估后未启用的）。全量 11932 个 CONFIG 符号见 config_full.csv。
  【取值快照】「AE103取值」列取自 build/zephyr/.config，对应构建参数 base + optional + test
              （build.sh 默认）。改了 .conf 必须重新构建，本列才会刷新。
  【分组】①~⑫ 按功能分组便于按主题查找，组内按配置项名排序。
  【查找】「定义位置」只给 AE103 视角优先级最高的 1~2 处，完整定义清单去 config_full.csv。
  【陷阱】LOG_MAX_LEVEL / LOG_DEFAULT_LEVEL / LOG_OVERRIDE_LEVEL / SYS_CLOCK_TICKS_PER_SEC 为
          int 类型，在 .conf 里写行内注释会导致 Kconfig 解析失败（详见 optional.conf 顶部说明）。
-->
配置项,类别,定义位置(Kconfig:行),类型,默认值,AE103取值,设置来源,作用,备注/约束
CONFIG_AE103_TIMER,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:130,bool,y,y,ae103_nto_defconfig,启用 AE103 硬件定时器驱动（4 路 16 位递减计数器）。本驱动是后续所有 AE103 外设驱动的「参考模板」——INTC、UART、GPIO 都按它的结构写。,⚠️ 该定时器不等于 systimer，不提供内核 tick（见 SYS_CLOCK_EXISTS）。
CONFIG_AE103_TIMER_INIT_PRIORITY,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:138,int,50,50,（Kconfig 默认，未在 .conf 中显式设置）,AE103 定时器驱动在 POST_KERNEL 阶段的初始化优先级，默认 50。,同优先级可能受驱动的初始化顺序由链接顺序决定，谨慎与他驱动同值。
CONFIG_AE103_UART,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:145,bool,y,y,ae103_nto_defconfig,启用 AE103 UART 驱动。共 6 个 16550 兼容口：UARTA/B 为 16x 过采样（标准），UART0~3 为 8x 过采样（非标准，配置寄存器时需注意除数值）。,当前仅轮询模式；中断模式随 AE103 INTC 驱动一起落地。初始化优先级跟随标准 CONFIG_SERIAL 优先级。
CONFIG_AE103_BOOT_DEFAULT,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:41,bool,n（隐式）,y,（Kconfig 默认，未在 .conf 中显式设置）,单镜像启动：hart 0 作为引导核，其余 hart 进入 wfi 低功耗等待。语义近似 Zephyr 默认的 boot_secondary_core 行为。,当前选中项。多核唤醒策略的基线。
CONFIG_AE103_BOOT_DUAL,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:47,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,双镜像启动：依据 FlashInfo 中的 A/B 标记选择主备镜像，加载失败时回退到另一镜像。,业务逻辑尚未实现，需在 ae103_boot.c 中补充。启用前须先确定 FlashInfo 结构与分区表。
CONFIG_AE103_BOOT_RECOVERY,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:53,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,备份/恢复启动：主镜像损坏时从备份区恢复并启动。,业务逻辑尚未实现，需在 ae103_boot.c 中补充。与 DUAL 的取舍：DUAL 是「选一个启动」，RECOVERY 是「坏的修好再启」。
CONFIG_AE103_OPT_FNO_UNROLL_LOOPS,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:115,bool,y,y,configs/opt.conf,关闭循环展开（-fno-unroll-loops）以缩减代码体积。对齐原固件 common.mk。,EC 固件 ROM 紧张，默认开启。牺牲少量性能换体积。
CONFIG_AE103_OPT_FSIGNED_CHAR,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:100,bool,y,y,configs/opt.conf,将 char 视为有符号（-fsigned-char）。RISC-V GCC 默认 unsigned char，此开关全局改变 char 语义（内核 / libc / 应用一并生效）。对齐原固件 common.mk。,⚠️ 全局语义变更，移植第三方代码时若出现 char 比较异常，首先怀疑此项。
CONFIG_AE103_OPT_MSAVE_RESTORE,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:108,bool,y,y,configs/opt.conf,启用 RISC-V 尾调用共享保存/恢复例程（-msave-restore）以缩减代码体积。对齐原固件 common.mk。,需链接 libgcc 中的对应例程，体积收益在中断密集代码中最大。
CONFIG_AE103_OPT_WEXTRA,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:122,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,启用额外的编译告警（-Wextra）。,默认关闭，对齐原固件 common.mk（其中 -Wextra 被注释掉）。建议新驱动开发期临时打开。
CONFIG_ARCH_HAS_RAMFUNC_SUPPORT,arch/Kconfig,arch/Kconfig:616,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,架构支持把函数放进 RAM 执行（ramfunc），粒度比 CODE_DATA_RELOCATION 更细（可逐函数指定）。,⚠️ 当前未定义，原因链已查实：本项由 arch/riscv/Kconfig:66 的「RISCV_PRIVILEGED select ARCH_HAS_RAMFUNC_SUPPORT if XIP」引入，而 AE103 有意不 select RISCV_PRIVILEGED（N100 内核 mtvec 只读，需自定义 vector.S，见 soc/riscv/spksilicon/ae103/Kconfig.soc:24）。故尽管 XIP=y，ramfunc 能力仍然缺失——**这正是 AE103 只能靠 CODE_DATA_RELOCATION 搬 RAM 的根本原因**。若将来要启用 __ramfunc，需在 AE103 Kconfig.soc 直接 select 本项（绕开 RISCV_PRIVILEGED，避免带回 Zephyr 的 riscv-privileged 中断层），并验证 arch/common 的 ramfunc 链接器片段适配 AE103 内存布局。
CONFIG_INIT_STACKS,kernel/Kconfig,kernel/Kconfig:391,bool,n（隐式）,y,configs/optional.conf,线程首次使用前用已知值（0xaa）填充栈区，便于通过高水位线判断栈用量。适用于线程栈与中断栈。,当前开启。**排查栈溢出必备**——配合 STACK_SENTINEL 使用。量产可关以省启动时间。
CONFIG_MMU,kernel/Kconfig.vm,kernel/Kconfig.vm:101,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,CPU 的内存管理单元处于活动状态，且 arch_mem_map() API 可用。,当前依赖不满足、未启用。AE103 为无 MMU 的 MCU 类内核；内存保护请走 PMP 路线（见 ⑦ 组）。
CONFIG_MP_MAX_NUM_CPUS,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.defconfig.series:24 | kernel/Kconfig:1191（另 19 处其他平台定义，详见 config_full.csv）,int,1,1,configs/optional.conf,多核 API 与 SMP 特性可见的最大 CPU 核数。,当前为 1。若 AE103 实际为多 hart 且要用 SMP，需与 SMP 一同调整（见 SMP）。
CONFIG_MULTITHREADING,kernel/Kconfig,kernel/Kconfig:12,bool,y,y,configs/base.conf,启用多线程内核。关闭后只有 main 线程可用（必须提供 main()），中断仍可用，但内核对象行为异常（main 线程无法 pend）。,EC 固件需要多任务（热管理、键盘、电源状态机），保持开启。关闭它等于退回裸机超循环。
CONFIG_SMP,kernel/Kconfig,kernel/Kconfig:1149 | soc/xtensa/intel_adsp/ace/Kconfig.defconfig.series:14（另 2 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,内核按 SMP 构建，允许多个 CPU 同时调度 Zephyr 任务。,当前依赖不满足、未启用。启用前提：MP_MAX_NUM_CPUS > 1，且中断控制器/自旋锁路径在 AE103 上验证通过。
CONFIG_STACK_CANARIES,kernel/Kconfig,kernel/Kconfig:1015,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,启用编译器栈金丝雀：函数进入时在栈帧插入金丝雀值，退出时校验，栈被破坏（如缓冲区溢出）则触发异常。,当前依赖不满足、未启用。开启会损失性能与代码体积，建议只在调试版本启用。
CONFIG_STACK_SENTINEL,subsys/debug,subsys/debug/Kconfig:177,bool,n（隐式）,y,ecfw-zephyr/prj.conf,在线程栈最低地址写入魔数，并周期性校验；魔数被覆盖则优雅地杀掉该线程。检查点：上下文切换、以及另外三处内核路径。,低开销的栈溢出看门狗。与 INIT_STACKS（看用了多少）、STACK_CANARIES（看写坏没）互补，三者可叠加。
CONFIG_THREAD_LOCAL_STORAGE,kernel/Kconfig,kernel/Kconfig:1267 | boards/riscv/qemu_riscv32/Kconfig.defconfig:13（另 1 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,启用内核的线程局部存储（TLS）支持。,当前依赖不满足、未启用。开启会增加每个线程的 TCB 体积与上下文切换开销，EC 场景通常不需要。
CONFIG_THREAD_NAME,kernel/Kconfig,kernel/Kconfig:445,bool,n（隐式）,y,ecfw-zephyr/prj.conf,允许为线程设置名字，便于调试时识别线程。,当前开启。牺牲少量 RAM（每线程存名字）换调试可见性，量产可关。
CONFIG_USERSPACE,arch/Kconfig,arch/Kconfig:272,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,允许线程创建或降级到用户模式。用户模式权限显著受限，须通过系统调用与内核交互。,当前依赖不满足、未启用。EC 固件不跑不可信代码，无隔离需求；启用会增加系统调用开销与内存占用。
CONFIG_SYS_CLOCK_EXISTS,kernel/Kconfig,kernel/Kconfig:926,bool,y,n(未启用),ae103_nto_defconfig,内核具备定时器支持（系统节拍）。关闭后超时相关 API 全部不可用。,⚠️ **当前为 n**！AE103 尚无 systimer，故 kernel/CMakeLists.txt 把整个 timeout.c/timer.c 排除在编译外，z_impl_k_uptime_ticks 全族缺失——已由 SoC 侧 soc.c 提供返回 0 的兜底实现（见 BUILD.md 7.15）。systimer 落地后改 y，兜底自动被预处理器剔除。
CONFIG_SYS_CLOCK_TICKS_PER_SEC,kernel/Kconfig,kernel/Kconfig:891 | ecfw-zephyr/out_of_tree_boards/boards/arm/mec172x_lj_mtl_template/Kconfig.defconfig:18（另 44 处其他平台定义，详见 config_full.csv）,int,100 if QEMU_TARGET || SOC_POSIX | 10000 if TICKLESS_KERNEL | 100,100,configs/optional.conf,系统时钟标称频率（Hz），内核所有的 uptime 与超时簿记都以「tick」为单位。,当前 100。⚠️ 因 SYS_CLOCK_EXISTS=n，此项当前不生效（仅被 LOG 时间戳间接引用）。systimer 落地后建议 EC 场景取 1000 或用 tickless。
CONFIG_NULL_POINTER_EXCEPTION_DETECTION_PMP,arch/riscv,arch/riscv/Kconfig:330,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,用 PMP 实现空指针解引用检测：将地址 0 附近设为不可访问，解引用空指针立即触发异常而非静默读写。,当前依赖不满足、未启用。依赖 RISCV_PMP，且需要留出一个 PMP 条目。
CONFIG_PMP_STACK_GUARD,arch/riscv,arch/riscv/Kconfig:308,—,—,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,用 PMP 为线程栈提供硬件级栈溢出保护：在栈边界设置不可访问区域，越界立即触发异常。,当前依赖不满足、未启用。依赖 RISCV_PMP。相比 STACK_SENTINEL（事后发现）是实时拦截，但消耗 PMP 条目。
CONFIG_RISCV_PMP,arch/riscv,arch/riscv/Kconfig:247,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,MCU 实现了物理内存保护（PMP）。,当前未启用。PMP 是 AE103 上唯一可行的内存保护手段（无 MMU）；启用前需确认 N100 内核的 PMP 条目数与寄存器行为。
CONFIG_RISCV_SOC_HAS_CUSTOM_IRQ_LOCK_OPS,arch/riscv,arch/riscv/Kconfig:108,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,隐藏选项：允许 SoC 用平台专属实现覆盖 arch_irq_lock() / arch_irq_unlock() / arch_irq_unlocked()，命名为 z_soc_irq_lock() / z_soc_irq_unlock() / z_soc_irq_unlocked()。,当前未定义/依赖不满足。用于 AE103 若需特化中断锁（例如用自定义 CSR 而非 mstatus.MIE）时。
CONFIG_RISCV_SOC_INTERRUPT_INIT,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.defconfig.series:27 | arch/riscv/Kconfig:196（另 16 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,y,（Kconfig 默认，未在 .conf 中显式设置）,启用基于 SoC 的中断初始化——在内核 _IntLibInit 中调用 soc_interrupt_init()。,当前开启。SoC 侧在此配置中断控制器（AE103 INTC），是中断能工作的前提。
CONFIG_WATCHDOG,drivers/watchdog,drivers/watchdog/Kconfig:7 | soc/arm/atmel_sam/Kconfig.defconfig:19,bool,n（隐式）,y,ecfw-zephyr/prj.conf,包含看门狗驱动支持（子系统级开关）。,当前开启。与 WDOG_INIT 的分工：WATCHDOG 是驱动子系统，WDOG_INIT 是「启动最早期就要禁/喂狗」的钩子。
CONFIG_WDOG_INIT,soc/riscv,soc/riscv/spksilicon/ae103/Kconfig.soc:87 | soc/arm/nxp_kinetis/Kconfig:164（另 2 处其他平台定义，详见 config_full.csv）,bool,n,y,configs/optional.conf,在 BSS 清零、.data 搬 RAM 之前，由 arch 的 reset.S 调用 _WdogInit()。用于最早阶段喂狗/禁狗，防止 z_prep_c 之前看门狗超时复位。,⚠️ 接入点：reset.S 中的 #ifdef CONFIG_WDOG_INIT / call _WdogInit。寄存器操作待芯片资料确认（WDT 中断号 = 19，SYSCTL@0x30400 属复位域）。
CONFIG_FPU,arch/Kconfig,arch/Kconfig:880 | boards/arm/efr32_radio/Kconfig.defconfig:36（另 11 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,启用硬件浮点单元（FPU），支持使用浮点寄存器与指令。启用后线程默认只能独占式使用浮点寄存器。,当前依赖不满足、未启用。⚠️ AE103 为 rv32ec/ilp32e，**无 F 扩展**，本项本就不适用于本平台——表格中标注为「不适用」而非「待启用」。
CONFIG_INCLUDE_RESET_VECTOR,arch/riscv,arch/riscv/Kconfig:58 | arch/nios2/Kconfig:44,bool,n（隐式）,y,（Kconfig 默认，未在 .conf 中显式设置）,包含复位向量桩：先使能指令/数据缓存，再跳转到 __start。这段代码通常位于 Flash 最开头。,当前开启。⚠️ help 中提到的 nios2-download 限制与本平台无关（那是 nios2 的说法）。
CONFIG_KERNEL_ENTRY,Kconfig.zephyr,Kconfig.zephyr:203 | soc/riscv/andes_v5/ae350/Kconfig.defconfig.series:17（另 3 处其他平台定义，详见 config_full.csv）,string,"""__start""","""_start""",ae103_nto_defconfig,代码入口符号，链接阶段使用。默认 _start。,当前 _start。改动需同步链接脚本与复位向量跳转目标，属高危改动。
CONFIG_NUCLEI_N100_SPECIAL,soc/riscv,soc/riscv/spksilicon/Kconfig:16,bool,y,y,（Kconfig 默认，未在 .conf 中显式设置）,Nuclei N100 内核（蜂鸟 E203 血统）为缩减面积把 mtvec 实现为只读寄存器（写入被忽略），异常/中断入口改由 mtvt(0x307) 向量表决定。使能后 common/vector.S 走 N100 特化路径、不写 mtvec；关闭则走标准 RISC-V 路径。,⚠️ 本项是 spksilicon 家族内所有 N100 内核 AE 系列（AE101/AE102/AE103/AE201/AE203…）共享的内核级开关。向量表由 ROM 复位后 scatterload 到 RAM 0x30800，mtvt 固定指向该处。改动此为「换内核血统」级别操作。⚠️ 连带影响：因 AE 系列不 select RISCV_PRIVILEGED，Zephyr 的 soc/riscv/common/riscv-privileged 中断公共层不参与构建，其缺失符号由 spksilicon/common 的 soc_irq.S / soc_common_irq.c 补上；同时 ARCH_HAS_RAMFUNC_SUPPORT 一并丢失（见该项）。
CONFIG_RISCV_GP,arch/riscv,arch/riscv/Kconfig:19 | soc/riscv/andes_v5/ae350/Kconfig.defconfig.series:27（另 14 处其他平台定义，详见 config_full.csv）,bool,n,y,ae103_nto_defconfig,使用 gp（全局指针）相对寻址访问小全局变量，可提升性能并缩减代码体积。,当前开启。前提：SoC 必须在程序启动时（或早于任何使用前）初始化 gp 寄存器——AE103 由 reset 路径完成。
CONFIG_RISCV_SMALL_DATA_LIMIT,arch/riscv,arch/riscv/Kconfig:31,int,8,8,ae103_nto_defconfig,尺寸 ≤ 此值（字节）的全局/静态变量放入 .sdata/.sbss，通过 gp 单条指令寻址。作为 -msmall-data-limit=N 传给编译器。,当前 8。值越大进入 gp 窗口的数据越多，但有超出 gp 相对寻址范围的风险（±2KB）。
CONFIG_CODE_DATA_RELOCATION,arch/Kconfig,arch/Kconfig:858 | soc/arm/nxp_imx/rt/Kconfig.defconfig.series:64,bool,n（隐式）,y,configs/base.conf,支持把指定文件的 .text/.data/.bss 重定位到指定内存区域。要搬的文件与目标区域在 CMakeLists.txt 中用 zephyr_code_relocate() 指定。,当前开启（来源 configs/base.conf:18）。**这是 AE103 SPI Flash 驱动搬 RAM 的唯一手段**——ramfunc 能力因 SoC 未 select RISCV_PRIVILEGED 而缺失（详见 ARCH_HAS_RAMFUNC_SUPPORT）。⚠️ 它是「能力开关」不是「开完即用」：必须在 CMakeLists.txt 用 zephyr_code_relocate() 指定待搬文件，否则 kernel/xip.c 调用的 data_copy_xip_relocation() / bss_zeroing_relocation() 会在链接期 undefined reference。
CONFIG_DEBUG_INFO,subsys/debug,subsys/debug/Kconfig:364,bool,n（隐式）,y,configs/opt.conf,在产物中加入供调试器使用的信息，或用于运行时上报额外的调试信息。,当前开启。⚠️ 只影响 ELF 体积与调试体验，不占目标 Flash 空间（除非另有 strip 步骤）。
CONFIG_LINKER_USE_BOOT_SECTION,Kconfig.zephyr,Kconfig.zephyr:241,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,把启动流程需要的符号放入专门的 boot 链接段。要求架构/SoC/板卡/自定义链接脚本中存在 boot 段。,当前未启用。AE103 未提供 boot 段，直接启用会链接失败。
CONFIG_LINKER_USE_PINNED_SECTION,Kconfig.zephyr,Kconfig.zephyr:251,bool,n（隐式）,n(未启用),（Kconfig 默认，未在 .conf 中显式设置）,把需要固定在内存中的符号放入专门的 pinned 链接段，启动时把对应内存标记为 pinned。要求存在 pinned 段。,当前未启用。AE103 未提供 pinned 段。
CONFIG_SIZE_OPTIMIZATIONS,Kconfig.zephyr,Kconfig.zephyr:403,bool,n（隐式）,y,configs/opt.conf,把编译器优化级别独立设为 -Os，不受其他选项影响。,当前开启。EC 固件 ROM 紧张时的首选。与 AE103_OPT_FNO_UNROLL_LOOPS 叠加使用。
CONFIG_XIP,kernel/Kconfig,kernel/Kconfig:970 | arch/arm64/core/Kconfig:256（另 2 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,y,ae103_nto_defconfig,内核的 text 与只读段驻留在 ROM（或类似只读存储器）中，运行时按需取指，而不是整体搬到 RAM。,当前开启。EC 固件 RAM 小（DRAM 0x20000 + iRAM0 0x28000 共 64KB），XIP 是必然选择。⚠️ 副作用：Flash 擦写期间 CPU 无法从 Flash 取指（ICACHE/SPIF 死锁），相关驱动须搬 RAM。⚠️ 注意 XIP=y 本应经 arch/riscv/Kconfig:66 带出 ARCH_HAS_RAMFUNC_SUPPORT，但因 AE103 未 select RISCV_PRIVILEGED 而未生效——勿以为「XIP 开着就有 ramfunc」。
CONFIG_CONSOLE,drivers/console,drivers/console/Kconfig:9 | boards/arm/nrf52840dongle_nrf52840/Kconfig.defconfig:36（另 1 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,y,ae103_nto_defconfig,启用控制台子系统（提供 console 抽象层）。,当前开启。是 UART_CONSOLE 与 LOG_BACKEND_UART 的上层抽象。
CONFIG_LOG,subsys/logging,subsys/logging/Kconfig:6 | soc/xtensa/nxp_adsp/rt5xx/Kconfig.defconfig.series:43（另 1 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,y,configs/optional.conf+ecfw-zephyr/ae103_nto_minimal.conf+ecfw-zephyr/prj.conf,日志子系统总开关。关闭后所有 log 调用不会被编译进代码。,当前开启。⚠️ 与 CONFIG_PRINTK 不同——PRINTK 另有独立开关（见 LOG_PRINTK）。
CONFIG_LOG_BACKEND_UART,subsys/logging,subsys/logging/backends/Kconfig.uart:4,bool,y if !SHELL_BACKEND_SERIAL && !SHELL_BACKEND_RTT,y,configs/optional.conf,日志后端使用 UART 输出。,当前开启。对应 AE103_UART 驱动。
CONFIG_LOG_DEFAULT_LEVEL,subsys/logging,subsys/logging/Kconfig.filtering:13,int,3,3,configs/optional.conf,未显式指定级别的模块的默认日志级别。0 表示这些模块不激活日志。,当前 3（INFO）。同上，**int 类型，注释必须独立成行**。
CONFIG_LOG_FRONTEND,subsys/logging,subsys/logging/Kconfig.mode:42,bool,n（隐式）,n(未启用),configs/optional.conf,把日志重定向到自定义前端（函数级重定向），是输出日志最快的方式。宏级重定向见 LOG_CUSTOM_HEADER。,当前未启用。EC 用标准后端 + UART 输出即可。
CONFIG_LOG_MAX_LEVEL,subsys/logging,subsys/logging/Kconfig.filtering:45,int,4,4,configs/optional.conf,强制所有模块的最高日志级别，模块自身级别高于此值时被饱和到此值。级别：0=OFF / 1=ERROR / 2=WARNING / 3=INFO / 4=DEBUG。,当前 4（DEBUG）。⚠️ **本项为 int 类型**：在 .conf 文件中写行内注释会导致解析失败（详见 configs/optional.conf 顶部陷阱说明）。交付版本可降至 3 省 ROM。
CONFIG_LOG_MODE_DEFERRED,subsys/logging,subsys/logging/Kconfig.mode:10,bool,n（隐式）,n(未启用),configs/optional.conf,日志先缓冲、稍后处理（deferred）。对应用影响最小，耗时处理推迟到已知上下文。,当前未选中。⚠️ 依赖日志处理线程休眠，AE103 无 tick 时不可用。
CONFIG_LOG_MODE_IMMEDIATE,subsys/logging,subsys/logging/Kconfig.mode:18,bool,n（隐式）,y,configs/optional.conf,日志在调用者上下文中立即处理。会影响系统性能，因为耗时操作（如高优先级中断中的格式化）发生在 log 调用处。后端须支持独占访问。,当前选中（与 DEFERRED 二选一）。✅ EC 场景的正确选择：无系统节拍（SYS_CLOCK_EXISTS=n）时 deferred 模式的日志处理线程无法休眠唤醒，只能选 immediate。
CONFIG_LOG_OVERRIDE_LEVEL,subsys/logging,subsys/logging/Kconfig.filtering:28,int,0,0,configs/optional.conf,强制所有模块的最低日志级别：模块自身级别高于此值则用自身级别，否则被抬到此值。0 = 不强制抬高。,当前 0。同上，**int 类型，注释必须独立成行**。临时调试某模块时才调整。
CONFIG_LOG_PRINTK,subsys/logging,subsys/logging/Kconfig.processing:8 | samples/sensor/bme280/Kconfig:7,bool,y if PRINTK,y,configs/optional.conf,把 printk 消息重定向到日志子系统。消息就地格式化并无条件记录。,当前开启。⚠️ 与 LOG 独立：即使 LOG=n，printk 仍可工作。
